acampar,to camp
confirmar una,to confirm a
reservación,reservation
estar de vacaciones (f. pl.),to be on vacation
hacer las maletas,to pack (one’s suitcases)
hacer un viaje,to take a trip
hacer (wind)surf,to (wind)surf
ir de compras (f. pl.),to go shopping
ir de vacaciones,to go on vacation
"ir en autobús (m.), auto(móvil) (m.)","to go by bus, car,"
"ir en avión (m.), barco (m.)","to go by plane, boat,"
"ir en moto(cicleta) (f.), taxi (m.)","to go by motorcycle, taxi"
jugar a las cartas,to play cards
montar a caballo (m.),to ride a horse
pescar,to fish
sacar/tomar fotos (f. pl.),to take photos
el/la agente de viajes,travel agent
el/la inspector(a) de aduanas,customs inspector
el/la viajero/a,traveler
el aeropuerto,airport
la agencia de viajes,travel agency
el campo,countryside
el equipaje,luggage
"la estación de autobuses, del metro, de tren","bus, subway, train station"
la llegada,arrival
el mar,sea
el paisaje,landscape
el pasaje (de ida y vuelta),(round-trip) ticket
el pasaporte,passport
la playa,beach
la salida,departure; exit
la tabla de (wind)surf,surfboard/sailboard
abierto/a,open
aburrido/a,bored; boring
alegre,happy
amable,nice; friendly
avergonzado/a,embarrassed
cansado/a,tired
cerrado/a,closed
cómodo/a,comfortable
confundido/a,confused
contento/a,content
desordenado/a,disorderly
enamorado/a (de),in love (with)
enojado/a,angry
equivocado/a,wrong
feliz,happy
limpio/a,clean
listo/a,ready; smart
nervioso/a,nervous
ocupado/a,busy
ordenado/a,orderly
preocupado/a (por),worried (about)
seguro/a,sure; safe; confident
sucio/a,dirty
triste,sad
